1408.8,248.12
1385.7,354.08
1364.1,459.53
1340.9,565.44
1319,671.08
1296.1,776.87
1274.1,882.36
1251.2,988.27
1302.9,225.1
1280.3,331.23
1257.8,436.93
1235.4,542.52
1212.9,648.3
1190.5,754
1167.9,859.66
1145.1,965.28
1197.4,203.12
1174.6,308.63
1152.2,414.38
1129.7,520.15
1107.3,625.77
1084.7,731.53
1062.3,837.33
1039.7,943.46
1091.6,179.99
1068.8,286.31
1046.5,391.96
1023.9,497.69
1001.5,603.4
979.05,709.19
956.49,814.76
933.6,920.45
986.1,158.28
963.22,263.7
940.7,369.41
918.3,475.21
895.78,580.78
873.36,686.62
850.84,792.34
828.28,898.48
880.16,135.2
857.42,241.3
835.01,346.97
812.58,452.7
790.02,558.42
767.57,664.21
745.21,769.87
722.23,875.49
774.58,113.25
751.65,218.77
729.29,324.56
706.81,430.27
684.34,536.03
661.85,641.63
639.38,747.36
616.8,853.42
668.55,90.334
645.71,196.31
623.6,301.58
600.66,407.66
578.63,512.92
555.74,618.98
533.77,724.5
510.76,830.46
